parcel_id,width,depth,height,stackable
0,0.5717662528052769,0.5794540585129165,0.27726464616534474,1
1,0.2797105166707866,0.28791900926524105,0.25713700989018085,1
2,0.4924027059849886,0.2812480907878445,0.4043220318945422,1
3,0.39563909261470587,0.4449452203716653,0.31974393964441283,0
4,0.2471642805984641,0.2348736808325587,0.4428406502848282,1
5,0.5613628432114571,0.28409486473416834,0.3226133484203293,1
6,0.5346657723392847,0.253738867482901,0.18371463392116144,1
7,0.28206921314526145,0.44766202665575083,0.4249682269424712,1
8,0.586588407316447,0.13864158554777503,0.08163335022372994,0
9,0.21226216536756562,0.2904547659005151,0.32288378846366966,0
10,0.502747933964061,0.5986315210038706,0.09329174476904156,1
11,0.4404481156404221,0.42047590402435875,0.12171193306145743,1
12,0.33553026061284996,0.33757512532624423,0.20452704054017368,1
13,0.11540273527550485,0.24459782196658134,0.2498720064365232,0
14,0.5473991015413985,0.11133805312019626,0.07143299456493116,0
15,0.3868162619073374,0.5547468612105043,0.21228012450829897,0
16,0.29515412882658865,0.5604013967419745,0.26479776517688036,1
17,0.27733951860745154,0.5892578129758601,0.16157015179938877,1
18,0.4259865097302026,0.3397392087703993,0.2124372183156617,1
19,0.273514212306338,0.39664584366678535,0.36181100681074446,0
20,0.353789954074585,0.24449860123126263,0.1261893448931622,0
21,0.2854678513551555,0.5141989336454995,0.17360114000216503,0
22,0.12760142697360508,0.39132731097218476,0.160436568494884,1
23,0.2252046001648502,0.24833631943559223,0.14957461710748027,0
24,0.5204815191039268,0.24752956655461425,0.06490890450133652,1
25,0.5090772073126713,0.2781147651212762,0.43269737626948696,1
26,0.4336627131179345,0.4353477130282335,0.2534442962787457,0
27,0.33529379554904193,0.48478496762696033,0.1807975477641025,0
28,0.5849222463578224,0.15186514507931245,0.4021915415390495,0
29,0.5201303769898004,0.5644428580964131,0.05877274332893592,1
30,0.22253373062677786,0.47656498266525393,0.09239513374201375,1
31,0.3837735446936017,0.5024380418896234,0.057511492519893403,1
32,0.5779756236335235,0.19876759159144422,0.062235778172085435,1
33,0.49280878229683445,0.17143694312328447,0.051056799844011375,0
34,0.28467513986594506,0.46710641617930226,0.2934198727589532,1
35,0.33496183297067117,0.5694825317981531,0.33702562863078966,1
36,0.35891341364242446,0.2733646829478187,0.19164309420459014,0
37,0.5509467008476996,0.14999976125136824,0.4212005763661245,1
38,0.45714777280702135,0.26327441441383526,0.35226312968547535,1
39,0.2990689617567065,0.5188728477631317,0.4451711223536528,1
